,bbox_x1,bbox_y1,bbox_x2,bbox_y2,file_name,gray_scale,label,train/val
0,39,116,569,375,00001.jpg,False,13,train
1,36,116,868,587,00002.jpg,False,2,train
2,85,109,601,381,00003.jpg,False,90,train
3,621,393,1484,1096,00004.jpg,False,133,train
4,14,36,133,99,00005.jpg,False,105,train
5,259,289,515,416,00006.jpg,False,122,train
6,88,80,541,397,00007.jpg,False,88,train
7,73,79,591,410,00008.jpg,False,95,train
8,20,126,1269,771,00009.jpg,False,166,train
9,21,110,623,367,00010.jpg,False,57,train
10,51,93,601,393,00011.jpg,False,48,train
11,6,62,499,286,00012.jpg,False,185,val
12,30,36,418,307,00013.jpg,False,134,train
13,31,246,778,540,00014.jpg,False,84,val
14,32,77,589,379,00015.jpg,False,192,train
15,27,49,611,396,00016.jpg,False,171,train
16,39,52,233,150,00017.jpg,False,13,train
17,3,8,190,147,00018.jpg,False,72,train
18,247,287,1366,761,00019.jpg,False,191,val
19,17,281,961,596,00020.jpg,False,56,train
20,17,156,695,375,00021.jpg,False,78,train
21,212,538,1893,1131,00022.jpg,False,35,train
22,11,28,476,234,00023.jpg,False,119,val
23,53,126,973,621,00024.jpg,False,169,train
24,34,87,567,343,00025.jpg,False,193,train
25,30,174,598,379,00026.jpg,False,133,train
26,80,107,606,336,00027.jpg,False,183,val
27,45,115,585,382,00028.jpg,False,85,train
28,28,139,1564,1126,00029.jpg,False,179,train
29,82,109,874,521,00030.jpg,False,193,train
30,55,318,446,564,00031.jpg,False,153,train
31,12,31,471,350,00032.jpg,False,138,train
32,34,197,1011,656,00033.jpg,False,65,train
33,37,63,614,397,00034.jpg,False,132,train
34,223,87,1111,670,00035.jpg,False,153,train
35,138,41,521,223,00036.jpg,False,103,train
36,31,87,616,344,00037.jpg,False,37,train
37,16,89,459,326,00038.jpg,False,96,train
38,53,113,614,350,00039.jpg,False,104,train
39,214,110,660,403,00040.jpg,False,141,train
40,61,55,566,408,00041.jpg,False,12,train
41,28,61,622,371,00042.jpg,False,190,val
42,22,39,588,362,00043.jpg,False,118,train
43,220,193,537,364,00044.jpg,False,37,train
44,12,108,489,297,00045.jpg,False,185,train
45,28,80,759,466,00046.jpg,False,24,train
46,84,248,1102,899,00047.jpg,False,193,train
47,142,69,753,451,00048.jpg,False,176,train
48,166,543,887,903,00049.jpg,False,172,train
49,20,96,564,341,00050.jpg,False,41,train
50,41,181,607,465,00051.jpg,False,90,train
51,39,29,774,395,00052.jpg,False,147,train
52,161,191,425,307,00053.jpg,False,14,train
53,58,562,1528,1081,00054.jpg,False,96,train
54,80,120,582,391,00055.jpg,False,41,val
55,32,48,472,267,00056.jpg,False,52,val
56,260,138,972,439,00057.jpg,False,43,train
