,epoch,train/eval,batch_size,loss,acc,correct
0,0,train,32,5.261387825012207,,1
0,0,train,32,5.283724784851074,,0
0,0,train,32,5.376276016235352,,0
0,0,train,32,5.218053817749023,,1
0,0,train,32,5.347933292388916,,1
0,0,train,32,5.266463279724121,,1
0,0,train,32,5.275278091430664,,0
0,0,train,32,5.301470756530762,,1
0,0,train,32,5.267286777496338,,1
0,0,train,32,5.2190117835998535,,2
0,0,train,32,5.334434509277344,,0
0,0,train,32,5.286008358001709,,0
0,0,train,32,5.310269355773926,,0
0,0,train,32,5.267287254333496,,0
0,0,train,32,5.320786476135254,,0
0,0,train,32,5.278685569763184,,0
0,0,train,32,5.302042484283447,,0
0,0,train,32,5.3937907218933105,,0
0,0,train,32,5.283740043640137,,0
0,0,train,32,5.359652519226074,,0
0,0,train,32,5.352602958679199,,0
0,0,train,32,5.292158603668213,,0
0,0,train,32,5.318652629852295,,0
0,0,train,32,5.449069023132324,,0
0,0,train,32,5.2811479568481445,,0
0,0,train,32,5.312438488006592,,0
0,0,train,32,5.3221588134765625,,0
0,0,train,32,5.257349491119385,,0
0,0,train,32,5.330053329467773,,1
0,0,train,32,5.304866313934326,,0
0,0,train,32,5.323031902313232,,0
0,0,train,32,5.265262603759766,,0
0,0,train,32,5.293384552001953,,0
0,0,train,32,5.326544284820557,,0
0,0,train,32,5.288300037384033,,0
0,0,train,32,5.316532611846924,,0
0,0,train,32,5.317376613616943,,0
0,0,train,32,5.364697456359863,,0
0,0,train,32,5.254601001739502,,0
0,0,train,32,5.320107460021973,,0
0,0,train,32,5.337204933166504,,1
0,0,train,32,5.297380447387695,,0
0,0,train,32,5.363824844360352,,0
0,0,train,32,5.251760005950928,,0
0,0,train,32,5.257933139801025,,1
0,0,train,32,5.249343395233154,,0
0,0,train,32,5.296828269958496,,0
0,0,train,32,5.338934898376465,,0
0,0,train,32,5.321255683898926,,0
0,0,train,32,5.27390193939209,,0
0,0,train,32,5.278661727905273,,0
0,0,train,32,5.199605941772461,,0
0,0,train,32,5.280789375305176,,0
0,0,train,32,5.341212272644043,,0
0,0,train,32,5.27658224105835,,0
0,0,train,32,5.305891036987305,,0
0,0,train,32,5.278470993041992,,0
0,0,train,32,5.257806301116943,,1
0,0,train,32,5.296656608581543,,0
0,0,train,32,5.297677516937256,,0
0,0,train,32,5.337439060211182,,1
0,0,train,32,5.290375709533691,,0
0,0,train,32,5.320283889770508,,1
0,0,train,32,5.294475078582764,,0
0,0,train,32,5.299391746520996,,0
0,0,train,32,5.304397106170654,,0
0,0,train,32,5.286220550537109,,0
0,0,train,32,5.255837440490723,,2
0,0,train,32,5.300197124481201,,0
0,0,train,32,5.352816104888916,,0
0,0,train,32,5.3182373046875,,0
0,0,train,32,5.3756537437438965,,0
0,0,train,32,5.205369472503662,,0
0,0,train,32,5.228643417358398,,0
0,0,train,32,5.276233196258545,,0
0,0,train,32,5.350299835205078,,0
0,0,train,32,5.213551044464111,,0
0,0,train,32,5.211105823516846,,1
0,0,train,32,5.29317569732666,,0
0,0,train,32,5.341818809509277,,0
0,0,train,32,5.171729564666748,,0
0,0,train,32,5.310493469238281,,0
0,0,train,32,5.2761945724487305,,1
0,0,train,32,5.2646307945251465,,0
0,0,train,32,5.273260593414307,,0
0,0,train,32,5.321270942687988,,0
0,0,train,32,5.302183151245117,,0
0,0,train,32,5.273874759674072,,0
0,0,train,32,5.2968926429748535,,0
0,0,train,32,5.293639659881592,,0
0,0,train,32,5.292421817779541,,0
0,0,train,32,5.322299003601074,,0
0,0,train,32,5.294653415679932,,0
0,0,train,32,5.291262149810791,,0
0,0,train,32,5.208110809326172,,0
0,0,train,32,5.256967067718506,,0
0,0,train,32,5.2563323974609375,,0
0,0,train,32,5.301334857940674,,0
0,0,train,32,5.228368282318115,,1
0,0,train,32,5.259674549102783,,0
0,0,train,32,5.303545951843262,,0
0,0,train,32,5.16925048828125,,1
0,0,train,32,5.226364612579346,,0
0,0,train,32,5.328072547912598,,0
0,0,train,32,5.341796875,,0
0,0,train,32,5.281370162963867,,0
0,0,train,32,5.309563636779785,,0
0,0,train,32,5.281272888183594,,0
0,0,train,32,5.264352321624756,,0
0,0,train,32,5.261899948120117,,0
0,0,train,32,5.199166774749756,,1
0,0,train,32,5.238723278045654,,0
0,0,train,32,5.3229522705078125,,0
0,0,train,32,5.275453567504883,,0
0,0,train,32,5.207059860229492,,0
0,0,train,32,5.216575622558594,,1
0,0,train,32,5.2829718589782715,,0
0,0,train,32,5.2192301750183105,,0
0,0,train,32,5.232368469238281,,1
0,0,train,32,5.342532157897949,,0
0,0,train,32,5.292266845703125,,0
0,0,train,32,5.268553733825684,,0
0,0,train,32,5.21793270111084,,0
0,0,train,32,5.275153160095215,,1
0,0,train,32,5.266249179840088,,0
0,0,train,32,5.219344139099121,,0
0,0,train,32,5.247605323791504,,0
0,0,train,32,5.232779026031494,,1
0,0,train,32,5.328433990478516,,0
0,0,train,32,5.230485916137695,,0
0,0,train,32,5.248468399047852,,0
0,0,train,32,5.224520206451416,,0
0,0,train,32,5.286365509033203,,0
0,0,train,32,5.21651554107666,,0
0,0,train,32,5.236891269683838,,0
0,0,train,32,5.203927040100098,,0
0,0,train,32,5.1713104248046875,,1
0,0,train,32,5.264856338500977,,0
0,0,train,32,5.1372456550598145,,3
0,0,train,32,5.218417644500732,,0
0,0,train,32,5.122251510620117,,0
0,0,train,32,5.19081449508667,,1
0,0,train,32,5.151594161987305,,0
0,0,train,32,5.190876007080078,,1
0,0,train,32,5.1896443367004395,,1
0,0,train,32,5.107891082763672,,0
0,0,train,32,5.232934951782227,,0
0,0,train,32,5.224565505981445,,0
0,0,train,32,5.280685901641846,,1
0,0,train,32,5.282193660736084,,1
0,0,train,32,5.277418613433838,,1
0,0,train,32,5.191338539123535,,0
0,0,train,32,5.220218181610107,,0
0,0,train,32,5.248205661773682,,0
0,0,train,32,5.222497940063477,,1
0,0,train,32,5.251853942871094,,0
0,0,train,32,5.277010440826416,,0
0,0,train,32,5.229045391082764,,0
0,0,train,32,5.235698223114014,,0
0,0,train,32,5.239758014678955,,1
0,0,train,32,5.173498153686523,,0
0,0,train,32,5.229229927062988,,0
0,0,train,32,5.211106300354004,,0
0,0,train,32,5.2531819343566895,,1
0,0,train,32,5.134456157684326,,2
0,0,train,32,5.22859001159668,,1
0,0,train,32,5.282442569732666,,2
0,0,train,32,5.2714033126831055,,0
0,0,train,32,5.34345006942749,,0
0,0,train,32,5.259946346282959,,0
0,0,train,32,5.264474391937256,,0
0,0,train,32,5.150142669677734,,1
0,0,train,32,5.146870136260986,,1
0,0,train,32,5.200901985168457,,1
0,0,train,32,5.153641223907471,,3
0,0,train,32,5.177650451660156,,0
0,0,train,32,5.163990020751953,,0
0,0,train,32,5.189690113067627,,0
0,0,train,32,5.214519500732422,,0
0,0,train,32,5.124510288238525,,1
0,0,train,32,5.282381057739258,,1
0,0,train,32,5.138179779052734,,1
0,0,train,32,5.172238826751709,,4
0,0,train,32,5.317532539367676,,0
0,0,train,32,5.231118202209473,,1
0,0,train,32,5.1979289054870605,,1
0,0,train,32,5.163980484008789,,0
0,0,train,32,5.260432720184326,,0
0,0,train,32,5.15451717376709,,3
0,0,train,32,5.209526062011719,,0
0,0,train,32,5.226493835449219,,0
0,0,train,32,5.2218337059021,,1
0,0,train,32,5.2344465255737305,,1
0,0,train,32,5.208137512207031,,0
0,0,train,32,5.1696343421936035,,0
0,0,train,32,5.175998210906982,,2
0,0,train,32,5.277266502380371,,0
0,0,train,32,5.122687339782715,,3
0,0,train,32,5.247837066650391,,0
0,0,train,32,5.128244400024414,,1
0,0,train,32,5.225823402404785,,0
0,0,train,32,5.154807090759277,,2
0,0,train,32,5.125092506408691,,0
0,0,train,5,5.181766510009766,,0
0,0,val,32,164.8519744873047,9.375,3
0,0,val,32,164.9553680419922,6.25,2
0,0,val,32,165.51214599609375,0.0,0
0,0,val,32,165.34376525878906,3.125,1
0,0,val,32,163.88363647460938,6.25,2
0,0,val,32,165.40982055664062,0.0,0
0,0,val,32,166.41038513183594,3.125,1
0,0,val,32,164.61573791503906,3.125,1
0,0,val,32,164.8355712890625,3.125,1
0,0,val,32,166.2071075439453,0.0,0
0,0,val,32,166.14971923828125,0.0,0
0,0,val,32,164.5250701904297,0.0,0
0,0,val,32,162.05288696289062,9.375,3
0,0,val,32,162.9825897216797,0.0,0
0,0,val,32,164.4387969970703,12.5,4
0,0,val,32,166.45657348632812,0.0,0
0,0,val,32,166.74807739257812,6.25,2
0,0,val,32,163.13548278808594,3.125,1
0,0,val,32,166.832763671875,0.0,0
0,0,val,32,166.57904052734375,0.0,0
0,0,val,32,164.75315856933594,3.125,1
0,0,val,32,166.13848876953125,0.0,0
0,0,val,32,164.21636962890625,0.0,0
0,0,val,32,167.8992919921875,0.0,0
0,0,val,32,164.21261596679688,3.125,1
0,0,val,32,164.42581176757812,6.25,2
0,0,val,32,166.14964294433594,0.0,0
0,0,val,32,167.05694580078125,0.0,0
0,0,val,32,167.95912170410156,0.0,0
0,0,val,32,165.3155975341797,0.0,0
0,0,val,32,164.23770141601562,0.0,0
0,0,val,32,165.112548828125,0.0,0
0,0,val,32,167.03306579589844,3.125,1
0,0,val,32,164.483642578125,6.25,2
0,0,val,32,165.1323699951172,3.125,1
0,0,val,32,166.07827758789062,6.25,2
0,0,val,32,167.26254272460938,0.0,0
0,0,val,32,166.40478515625,0.0,0
0,0,val,32,165.77589416503906,3.125,1
0,0,val,32,168.06149291992188,0.0,0
0,0,val,32,166.3365020751953,3.125,1
0,0,val,32,167.3295440673828,0.0,0
0,0,val,32,165.552734375,3.125,1
0,0,val,32,165.60739135742188,3.125,1
0,0,val,32,164.15890502929688,0.0,0
0,0,val,32,164.66712951660156,0.0,0
0,0,val,32,162.46719360351562,3.125,1
0,0,val,32,164.886962890625,0.0,0
0,0,val,32,168.08030700683594,0.0,0
0,0,val,32,166.2383270263672,0.0,0
0,0,val,25,129.38275337219238,3.125,1
0,1,train,32,5.03098201751709,,2
0,1,train,32,5.112244606018066,,1
0,1,train,32,5.051224708557129,,0
0,1,train,32,5.041372299194336,,2
0,1,train,32,5.0482659339904785,,2
0,1,train,32,4.9767374992370605,,4
0,1,train,32,5.06607723236084,,2
0,1,train,32,5.050874710083008,,1
0,1,train,32,5.010015964508057,,2
0,1,train,32,5.048737049102783,,0
0,1,train,32,5.06728982925415,,3
0,1,train,32,4.961833953857422,,7
0,1,train,32,5.002767562866211,,1
0,1,train,32,5.060101509094238,,1
0,1,train,32,5.027975082397461,,0
0,1,train,32,5.071602821350098,,2
0,1,train,32,5.122770309448242,,0
0,1,train,32,5.105624675750732,,1
0,1,train,32,5.13096809387207,,1
0,1,train,32,5.065555095672607,,0
0,1,train,32,5.162755012512207,,0
0,1,train,32,5.072652339935303,,2
0,1,train,32,5.042898654937744,,1
0,1,train,32,5.079690456390381,,3
0,1,train,32,5.135659694671631,,1
0,1,train,32,4.988893032073975,,4
0,1,train,32,5.06239652633667,,1
0,1,train,32,5.07592248916626,,2
0,1,train,32,4.992924213409424,,4
0,1,train,32,4.936868190765381,,3
0,1,train,32,5.115818977355957,,2
0,1,train,32,5.099364280700684,,1
0,1,train,32,4.966333389282227,,2
0,1,train,32,5.030243873596191,,2
0,1,train,32,5.086976528167725,,0
0,1,train,32,5.040696620941162,,1
0,1,train,32,4.982010841369629,,2
0,1,train,32,4.932552814483643,,2
0,1,train,32,4.992551803588867,,2
0,1,train,32,5.006255149841309,,0
0,1,train,32,5.11461067199707,,0
0,1,train,32,5.024482250213623,,3
0,1,train,32,5.071939945220947,,3
0,1,train,32,4.981350421905518,,1
0,1,train,32,5.081643581390381,,2
0,1,train,32,5.030720233917236,,2
0,1,train,32,5.093104362487793,,3
0,1,train,32,4.9908270835876465,,1
0,1,train,32,5.0638346672058105,,2
0,1,train,32,5.129138469696045,,0
0,1,train,32,4.959465503692627,,3
0,1,train,32,4.953661918640137,,4
0,1,train,32,4.987389087677002,,2
0,1,train,32,5.094423770904541,,1
0,1,train,32,4.955837726593018,,2
0,1,train,32,5.1742401123046875,,1
0,1,train,32,5.048059940338135,,1
0,1,train,32,5.03192663192749,,2
0,1,train,32,5.141000270843506,,1
0,1,train,32,5.1657395362854,,0
0,1,train,32,5.050748825073242,,1
0,1,train,32,4.896290302276611,,4
0,1,train,32,4.988006114959717,,2
0,1,train,32,4.934576988220215,,4
0,1,train,32,4.9928669929504395,,3
0,1,train,32,4.814159393310547,,6
0,1,train,32,5.008497714996338,,3
0,1,train,32,4.903100967407227,,3
0,1,train,32,4.94365119934082,,2
0,1,train,32,5.042694091796875,,1
0,1,train,32,5.088482856750488,,2
0,1,train,32,4.978983402252197,,3
0,1,train,32,5.051761150360107,,2
0,1,train,32,4.941190242767334,,3
0,1,train,32,4.9944305419921875,,2
0,1,train,32,4.969284534454346,,1
0,1,train,32,5.0494184494018555,,3
0,1,train,32,4.9968085289001465,,4
0,1,train,32,4.97767448425293,,2
0,1,train,32,5.008541584014893,,3
0,1,train,32,4.930190086364746,,3
0,1,train,32,5.0187458992004395,,0
0,1,train,32,4.976351261138916,,2
0,1,train,32,4.972929954528809,,2
0,1,train,32,4.934162616729736,,0
0,1,train,32,5.0021071434021,,3
0,1,train,32,4.930042266845703,,4
0,1,train,32,4.9624128341674805,,1
0,1,train,32,4.901759147644043,,2
0,1,train,32,5.019364833831787,,2
0,1,train,32,5.037043571472168,,2
0,1,train,32,4.7927470207214355,,4
0,1,train,32,4.9186787605285645,,1
0,1,train,32,4.998340606689453,,2
0,1,train,32,4.962862491607666,,1
0,1,train,32,5.1536712646484375,,0
0,1,train,32,4.964326858520508,,2
0,1,train,32,5.033875942230225,,2
0,1,train,32,4.978168487548828,,2
0,1,train,32,4.980823040008545,,1
0,1,train,32,5.081400394439697,,0
0,1,train,32,4.996140480041504,,2
0,1,train,32,4.864215850830078,,2
0,1,train,32,4.9792633056640625,,0
0,1,train,32,4.9959845542907715,,2
0,1,train,32,4.894498348236084,,3
0,1,train,32,4.985651016235352,,0
0,1,train,32,4.806396484375,,2
0,1,train,32,4.914497375488281,,2
0,1,train,32,5.02099084854126,,0
0,1,train,32,4.898536682128906,,1
0,1,train,32,4.893551349639893,,5
0,1,train,32,4.875607490539551,,2
0,1,train,32,4.91103458404541,,2
0,1,train,32,4.887440204620361,,4
0,1,train,32,4.962732791900635,,3
0,1,train,32,4.864097595214844,,1
0,1,train,32,4.920944690704346,,1
0,1,train,32,4.951188087463379,,2
0,1,train,32,4.951635360717773,,2
0,1,train,32,4.970034599304199,,1
0,1,train,32,4.854541301727295,,2
0,1,train,32,4.97378396987915,,3
0,1,train,32,4.965280055999756,,2
0,1,train,32,4.927481651306152,,1
0,1,train,32,4.65688419342041,,4
0,1,train,32,4.794281959533691,,3
0,1,train,32,4.92716646194458,,1
0,1,train,32,4.980996131896973,,1
0,1,train,32,5.024083137512207,,2
0,1,train,32,5.0132060050964355,,2
0,1,train,32,4.76230001449585,,4
0,1,train,32,4.819548606872559,,3
0,1,train,32,4.839648246765137,,2
0,1,train,32,4.763641357421875,,3
0,1,train,32,4.860822677612305,,1
0,1,train,32,4.896758079528809,,4
0,1,train,32,4.996739864349365,,1
0,1,train,32,4.975887775421143,,3
0,1,train,32,4.840518951416016,,0
0,1,train,32,4.918281078338623,,2
0,1,train,32,4.967470169067383,,3
0,1,train,32,5.102684497833252,,0
0,1,train,32,4.9550981521606445,,2
0,1,train,32,4.916598320007324,,2
