,epoch,train/eval,batch_size,loss,acc,correct,lr
0,0,train,32,5.251514434814453,,1,0.001
0,0,train,32,5.405775547027588,,0,0.001
0,0,train,32,5.273187637329102,,0,0.001
0,0,train,32,5.334738254547119,,0,0.001
0,0,train,32,5.219549179077148,,0,0.001
0,0,train,32,5.245650291442871,,0,0.001
0,0,train,32,5.285276889801025,,1,0.001
0,0,train,32,5.3726067543029785,,0,0.001
0,0,train,32,5.351210594177246,,0,0.001
0,0,train,32,5.374623775482178,,0,0.001
0,0,train,32,5.266783714294434,,0,0.001
0,0,train,32,5.108218669891357,,3,0.001
0,0,train,32,5.266889572143555,,1,0.001
0,0,train,32,5.1913981437683105,,0,0.001
0,0,train,32,5.248510360717773,,1,0.001
0,0,train,32,5.259529113769531,,2,0.001
0,0,train,32,5.224650859832764,,0,0.001
0,0,train,32,5.106753349304199,,1,0.001
0,0,train,32,5.1825151443481445,,1,0.001
0,0,train,32,5.2308220863342285,,1,0.001
0,0,train,32,5.032734394073486,,1,0.001
0,0,train,32,4.940706729888916,,1,0.001
0,0,train,32,5.014604568481445,,2,0.001
0,0,train,32,5.138946533203125,,0,0.001
0,0,train,32,4.985077857971191,,3,0.001
0,0,train,32,5.229201316833496,,0,0.001
0,0,train,32,4.989260673522949,,3,0.001
0,0,train,32,5.1333746910095215,,1,0.001
0,0,train,32,5.219104766845703,,0,0.001
0,0,train,32,5.082279682159424,,1,0.001
0,0,train,32,5.199317455291748,,1,0.001
0,0,train,32,5.09160852432251,,1,0.001
0,0,train,32,4.8982391357421875,,0,0.001
0,0,train,32,4.944653511047363,,1,0.001
0,0,train,32,4.968057155609131,,1,0.001
0,0,train,32,4.829004287719727,,3,0.001
0,0,train,32,5.104401111602783,,0,0.001
0,0,train,32,4.859363555908203,,3,0.001
0,0,train,32,4.7765021324157715,,1,0.001
0,0,train,32,4.954779624938965,,1,0.001
0,0,train,32,5.110541343688965,,2,0.001
0,0,train,32,5.113046646118164,,0,0.001
0,0,train,32,4.950703144073486,,3,0.001
0,0,train,32,4.962460041046143,,2,0.001
0,0,train,32,4.492020606994629,,3,0.001
0,0,train,32,4.924683094024658,,1,0.001
0,0,train,32,4.919592380523682,,0,0.001
0,0,train,32,4.8490400314331055,,3,0.001
0,0,train,32,4.9417405128479,,2,0.001
0,0,train,32,5.236181259155273,,2,0.001
0,0,train,32,4.897823333740234,,2,0.001
0,0,train,32,4.890491485595703,,2,0.001
0,0,train,32,4.786022663116455,,1,0.001
0,0,train,32,4.798774242401123,,3,0.001
0,0,train,32,4.736574172973633,,1,0.001
0,0,train,32,4.632472991943359,,4,0.001
0,0,train,32,5.111580848693848,,0,0.001
0,0,train,32,4.755386829376221,,4,0.001
0,0,train,32,4.599139213562012,,4,0.001
0,0,train,32,5.017360210418701,,4,0.001
0,0,train,32,4.907877445220947,,3,0.001
0,0,train,32,4.76500940322876,,3,0.001
0,0,train,32,4.479408264160156,,6,0.001
0,0,train,32,4.762883186340332,,3,0.001
0,0,train,32,4.583020210266113,,3,0.001
0,0,train,32,4.759577751159668,,1,0.001
0,0,train,32,4.514763355255127,,5,0.001
0,0,train,32,4.685388565063477,,4,0.001
0,0,train,32,4.682328701019287,,4,0.001
0,0,train,32,4.493916034698486,,6,0.001
0,0,train,32,4.704357624053955,,2,0.001
0,0,train,32,4.840965747833252,,2,0.001
0,0,train,32,4.737529277801514,,6,0.001
0,0,train,32,4.513174533843994,,2,0.001
0,0,train,32,4.621656894683838,,2,0.001
0,0,train,32,4.91807222366333,,3,0.001
0,0,train,32,5.079846382141113,,3,0.001
0,0,train,32,4.85972785949707,,3,0.001
0,0,train,32,4.585813522338867,,4,0.001
0,0,train,32,4.839812278747559,,2,0.001
0,0,train,32,4.68388557434082,,2,0.001
0,0,train,32,4.591512680053711,,3,0.001
0,0,train,32,4.273046493530273,,3,0.001
0,0,train,32,4.3933024406433105,,4,0.001
0,0,train,32,4.785048961639404,,2,0.001
0,0,train,32,4.9253458976745605,,3,0.001
0,0,train,32,4.834589958190918,,1,0.001
0,0,train,32,4.865259170532227,,2,0.001
0,0,train,32,4.584204196929932,,4,0.001
